Year,Revenue,Merchants_LIVE,Merchants_TEST
2015-01,72013.8,7312,1097
2015-02,83931,7812,1387
2015-03,78553.92,8312,1677
2015-04,61241.27,8812,1967
2015-05,66394.56,9312,2257
2015-06,94491.32,9812,2547
2015-07,85909.18,10312,2837
2015-08,72616.43,10812,3127
2015-09,79798.24,11312,3417
2015-10,71025.58,11812,3707
2015-11,79616.13,12312,3997
2015-12,79916.09,12812,4287
2016-01,79215.2,8774,1371
2016-02,92324.1,9374,1734
2016-03,86409.3,9974,2096
2016-04,67365.4,10574,2459
2016-05,73034,11174,2821
2016-06,103940.5,11774,3184
2016-07,94500.1,12374,3546
2016-08,79878.1,12974,3909
2016-09,87778.1,13574,4271
2016-10,78128.1,14174,4634
2016-11,87577.7,14774,4996
2016-12,87907.7,15374,5359
2017-01,93473.9,10705,466
2017-02,108942.4,11437,589
2017-03,101963,12169,713
2017-04,79491.2,12901,836
2017-05,86180.1,13633,959
2017-06,122649.7,14365,1082
2017-07,111510.1,15097,1206
2017-08,94256.1,15829,1329
2017-09,103578.1,16561,1452
2017-10,92191.2,17293,1575
2017-11,103341.7,18025,1699
2017-12,103731.1,18757,1822
