Year,Product,Revenue,Merchants_LIVE,Merchants_TEST
2015-01,Credit Card Authorization,72013.8,7312,1097
2015-01,Credit Card Settlement,10802.07,7412,1155
2015-01,Record Retrieval,18003.45,7512,1213
2015-01,Secure Gateway Platform,54010.35,7612,1271
2015-01,Token Management,39607.59,7712,1329
2015-02,Credit Card Authorization,83931,7812,1387
2015-02,Credit Card Settlement,12589.65,7912,1445
2015-02,Record Retrieval,20982.75,8012,1503
2015-02,Secure Gateway Platform,62948.25,8112,1561
2015-02,Token Management,46162.05,8212,1619
2015-03,Credit Card Authorization,78553.92,8312,1677
2015-03,Credit Card Settlement,11783.088,8412,1735
2015-03,Record Retrieval,19638.48,8512,1793
2015-03,Secure Gateway Platform,58915.44,8612,1851
2015-03,Token Management,43204.656,8712,1909
2015-04,Credit Card Authorization,61241.27,8812,1967
2015-04,Credit Card Settlement,9186.1905,8912,2025
2015-04,Record Retrieval,15310.3175,9012,2083
2015-04,Secure Gateway Platform,45930.9525,9112,2141
2015-04,Token Management,33682.6985,9212,2199
2015-05,Credit Card Authorization,66394.56,9312,2257
2015-05,Credit Card Settlement,9959.184,9412,2315
2015-05,Record Retrieval,16598.64,9512,2373
2015-05,Secure Gateway Platform,49795.92,9612,2431
2015-05,Token Management,36517.008,9712,2489
2015-06,Credit Card Authorization,94491.32,9812,2547
2015-06,Credit Card Settlement,14173.698,9912,2605
2015-06,Record Retrieval,23622.83,10012,2663
2015-06,Secure Gateway Platform,70868.49,10112,2721
2015-06,Token Management,51970.226,10212,2779
2015-07,Credit Card Authorization,85909.18,10312,2837
2015-07,Credit Card Settlement,12886.377,10412,2895
2015-07,Record Retrieval,21477.295,10512,2953
2015-07,Secure Gateway Platform,64431.885,10612,3011
2015-07,Token Management,47250.049,10712,3069
2015-08,Credit Card Authorization,72616.43,10812,3127
2015-08,Credit Card Settlement,10892.4645,10912,3185
2015-08,Record Retrieval,18154.1075,11012,3243
2015-08,Secure Gateway Platform,54462.3225,11112,3301
2015-08,Token Management,39939.0365,11212,3359
2015-09,Credit Card Authorization,79798.24,11312,3417
2015-09,Credit Card Settlement,11969.736,11412,3475
2015-09,Record Retrieval,19949.56,11512,3533
2015-09,Secure Gateway Platform,59848.68,11612,3591
2015-09,Token Management,43889.032,11712,3649
2015-10,Credit Card Authorization,71025.58,11812,3707
2015-10,Credit Card Settlement,10653.837,11912,3765
2015-10,Record Retrieval,17756.395,12012,3823
2015-10,Secure Gateway Platform,53269.185,12112,3881
2015-10,Token Management,39064.069,12212,3939
2015-11,Credit Card Authorization,79616.13,12312,3997
2015-11,Credit Card Settlement,11942.4195,12412,4055
2015-11,Record Retrieval,19904.0325,12512,4113
2015-11,Secure Gateway Platform,59712.0975,12612,4171
2015-11,Token Management,43788.8715,12712,4229
2015-12,Credit Card Authorization,79916.09,12812,4287
2015-12,Credit Card Settlement,11987.4135,12912,4345
2015-12,Record Retrieval,19979.0225,13012,4403
2015-12,Secure Gateway Platform,59937.0675,13112,4461
2015-12,Token Management,43953.8495,13212,4519
2016-01,Credit Card Authorization,79215.2,8774,1371
2016-01,Credit Card Settlement,11882.3,8894,1444
2016-01,Record Retrieval,19803.8,9014,1516
2016-01,Secure Gateway Platform,59411.4,9134,1589
2016-01,Token Management,43568.3,9254,1661
2016-02,Credit Card Authorization,92324.1,9374,1734
2016-02,Credit Card Settlement,13848.6,9494,1806
2016-02,Record Retrieval,23081.0,9614,1879
2016-02,Secure Gateway Platform,69243.1,9734,1951
2016-02,Token Management,50778.3,9854,2024
2016-03,Credit Card Authorization,86409.3,9974,2096
2016-03,Credit Card Settlement,12961.4,10094,2169
2016-03,Record Retrieval,21602.3,10214,2241
2016-03,Secure Gateway Platform,64807.0,10334,2314
2016-03,Token Management,47525.1,10454,2386
2016-04,Credit Card Authorization,67365.4,10574,2459
2016-04,Credit Card Settlement,10104.8,10694,2531
2016-04,Record Retrieval,16841.3,10814,2604
2016-04,Secure Gateway Platform,50524.0,10934,2676
2016-04,Token Management,37051.0,11054,2749
2016-05,Credit Card Authorization,73034.0,11174,2821
2016-05,Credit Card Settlement,10955.1,11294,2894
2016-05,Record Retrieval,18258.5,11414,2966
2016-05,Secure Gateway Platform,54775.5,11534,3039
2016-05,Token Management,40168.7,11654,3111
2016-06,Credit Card Authorization,103940.5,11774,3184
2016-06,Credit Card Settlement,15591.1,11894,3256
2016-06,Record Retrieval,25985.1,12014,3329
2016-06,Secure Gateway Platform,77955.3,12134,3401
2016-06,Token Management,57167.2,12254,3474
2016-07,Credit Card Authorization,94500.1,12374,3546
2016-07,Credit Card Settlement,14175.0,12494,3619
2016-07,Record Retrieval,23625.0,12614,3691
2016-07,Secure Gateway Platform,70875.1,12734,3764
2016-07,Token Management,51975.1,12854,3836
2016-08,Credit Card Authorization,79878.1,12974,3909
2016-08,Credit Card Settlement,11981.7,13094,3981
2016-08,Record Retrieval,19969.5,13214,4054
2016-08,Secure Gateway Platform,59908.6,13334,4126
2016-08,Token Management,43932.9,13454,4199
2016-09,Credit Card Authorization,87778.1,13574,4271
2016-09,Credit Card Settlement,13166.7,13694,4344
2016-09,Record Retrieval,21944.5,13814,4416
2016-09,Secure Gateway Platform,65833.5,13934,4489
2016-09,Token Management,48277.9,14054,4561
2016-10,Credit Card Authorization,78128.1,14174,4634
2016-10,Credit Card Settlement,11719.2,14294,4706
2016-10,Record Retrieval,19532.0,14414,4779
2016-10,Secure Gateway Platform,58596.1,14534,4851
2016-10,Token Management,42970.5,14654,4924
2016-11,Credit Card Authorization,87577.7,14774,4996
2016-11,Credit Card Settlement,13136.7,14894,5069
2016-11,Record Retrieval,21894.4,15014,5141
2016-11,Secure Gateway Platform,65683.3,15134,5214
2016-11,Token Management,48167.8,15254,5286
2016-12,Credit Card Authorization,87907.7,15374,5359
2016-12,Credit Card Settlement,13186.2,15494,5431
2016-12,Record Retrieval,21976.9,15614,5504
2016-12,Secure Gateway Platform,65930.8,15734,5576
2016-12,Token Management,48349.2,15854,5649
2017-01,Credit Card Authorization,93473.9,10705,466
2017-01,Credit Card Settlement,14021.1,10851,491
2017-01,Record Retrieval,23368.5,10998,516
2017-01,Secure Gateway Platform,70105.4,11144,540
2017-01,Token Management,51410.7,11290,565
2017-02,Credit Card Authorization,108942.4,11437,589
2017-02,Credit Card Settlement,16341.4,11583,614
2017-02,Record Retrieval,27235.6,11730,639
2017-02,Secure Gateway Platform,81706.8,11876,663
2017-02,Token Management,59918.3,12022,688
2017-03,Credit Card Authorization,101963.0,12169,713
2017-03,Credit Card Settlement,15294.4,12315,737
2017-03,Record Retrieval,25490.7,12462,762
2017-03,Secure Gateway Platform,76472.2,12608,787
2017-03,Token Management,56079.6,12754,811
2017-04,Credit Card Authorization,79491.2,12901,836
2017-04,Credit Card Settlement,11923.7,13047,861
2017-04,Record Retrieval,19872.8,13194,885
2017-04,Secure Gateway Platform,59618.4,13340,910
2017-04,Token Management,43720.1,13486,935
2017-05,Credit Card Authorization,86180.1,13633,959
2017-05,Credit Card Settlement,12927.0,13779,984
2017-05,Record Retrieval,21545.0,13926,1009
2017-05,Secure Gateway Platform,64635.1,14072,1033
2017-05,Token Management,47399.1,14218,1058
2017-06,Credit Card Authorization,122649.7,14365,1082
2017-06,Credit Card Settlement,18397.5,14511,1107
2017-06,Record Retrieval,30662.4,14658,1132
2017-06,Secure Gateway Platform,91987.3,14804,1156
2017-06,Token Management,67457.4,14950,1181
2017-07,Credit Card Authorization,111510.1,15097,1206
2017-07,Credit Card Settlement,16726.5,15243,1230
2017-07,Record Retrieval,27877.5,15390,1255
2017-07,Secure Gateway Platform,83632.6,15536,1280
2017-07,Token Management,61330.6,15682,1304
2017-08,Credit Card Authorization,94256.1,15829,1329
2017-08,Credit Card Settlement,14138.4,15975,1354
2017-08,Record Retrieval,23564.0,16122,1378
2017-08,Secure Gateway Platform,70692.1,16268,1403
2017-08,Token Management,51840.9,16414,1428
2017-09,Credit Card Authorization,103578.1,16561,1452
2017-09,Credit Card Settlement,15536.7,16707,1477
2017-09,Record Retrieval,25894.5,16854,1502
2017-09,Secure Gateway Platform,77683.6,17000,1526
2017-09,Token Management,56968.0,17146,1551
2017-10,Credit Card Authorization,92191.2,17293,1575
2017-10,Credit Card Settlement,13828.7,17439,1600
2017-10,Record Retrieval,23047.8,17586,1625
2017-10,Secure Gateway Platform,69143.4,17732,1649
2017-10,Token Management,50705.2,17878,1674
2017-11,Credit Card Authorization,103341.7,18025,1699
2017-11,Credit Card Settlement,15501.3,18171,1723
2017-11,Record Retrieval,25835.4,18318,1748
2017-11,Secure Gateway Platform,77506.3,18464,1773
2017-11,Token Management,56838.0,18610,1797
2017-12,Credit Card Authorization,103731.1,18757,1822
2017-12,Credit Card Settlement,15559.7,18903,1847
2017-12,Record Retrieval,25932.8,19050,1871
2017-12,Secure Gateway Platform,77798.3,19196,1896
2017-12,Token Management,57052.1,19342,1921
